Opened,Closed,Updated,Status,Responsible Agency,Category,Neighborhood,Source
03/14/2016 05:17:11 AM,03/14/2016 03:44:02 PM,03/14/2016 03:44:02 PM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,Mission,Web Self Service
03/14/2016 05:17:33 AM,03/14/2016 08:15:33 AM,03/14/2016 08:15:33 AM,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,South of Market,Web Self Service
06-01-2016 16:35,06-02-2016 10:33,06-02-2016 10:33,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,Mission,Voice In
03/14/2016 05:19:32 AM,03/14/2016 08:57:51 AM,03/14/2016 08:57:51 AM,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,South of Market,Web Self Service
06-01-2016 16:36,06-02-2016 09:15,06-02-2016 09:15,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,Mission,Voice In
03/14/2016 06:06:07 AM,03/14/2016 08:48:17 AM,03/14/2016 08:48:17 AM,Closed,DPW Ops Queue,Graffiti Private Property,Mission,Open311
06-01-2016 16:37,06-02-2016 08:45,06-02-2016 08:45,Closed,DPW Ops Queue,Graffiti Public Property,Mission,Voice In
02/29/2016 07:25:22 AM,,03-01-2016 08:06,Open,SFMTA - Temporary Sign Request Installation/Enforcement Queue,Temporary Sign Request,Mission,Web Self Service
06-01-2016 16:39,06-02-2016 10:05,06-02-2016 10:05,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,Mission,Open311
02/29/2016 07:52:06 AM,03-01-2016 00:34,03-01-2016 00:34,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,Mission,Voice In
03/14/2016 06:58:36 AM,03/14/2016 10:40:20 AM,03/14/2016 10:40:20 AM,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,Nob Hill,Open311
06-01-2016 16:40,06-02-2016 12:00,06-02-2016 12:00,Closed,DPW Ops Queue,Street Defects,South of Market,Open311
03/14/2016 07:15:14 AM,,03/14/2016 07:15:15 AM,Open,PUC Streetlights Queue,Streetlights,Mission,Open311
03/14/2016 07:25:46 AM,,03/14/2016 08:29:01 AM,Open,DPW Ops Queue,Litter Receptacles,South of Market,Open311
06-01-2016 16:45,06-02-2016 09:31,06-02-2016 09:31,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,Mission,Open311
03/14/2016 07:29:30 AM,03/14/2016 08:49:08 AM,03/14/2016 08:49:08 AM,Closed,DPT Meter_Bike Queue,Damaged Property,North Beach,Voice In
06-01-2016 16:45,06-02-2016 12:29,06-02-2016 12:29,Closed,DPW Ops Queue,Graffiti Public Property,South of Market,Open311
03/14/2016 07:36:09 AM,03/14/2016 03:32:51 PM,03/14/2016 03:32:51 PM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,Mission,Open311
03/14/2016 07:36:10 AM,03/14/2016 12:12:50 PM,03/14/2016 12:12:50 PM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,Mission,Voice In
03/14/2016 07:38:32 AM,03/14/2016 10:41:21 AM,03/14/2016 10:41:21 AM,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,Russian Hill,Voice In
03/14/2016 07:40:21 AM,03/14/2016 09:18:44 AM,03/14/2016 09:18:44 AM,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,Mission,Voice In
02/29/2016 08:34:19 AM,,03-01-2016 02:38,Open,DPW Ops Queue,Street and Sidewalk Cleaning,South of Market,Open311
03/14/2016 12:43:09 PM,03/14/2016 01:16:07 PM,03/14/2016 01:16:07 PM,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,Chinatown,Open311
03/14/2016 07:46:15 AM,03/14/2016 01:59:05 PM,03/14/2016 01:59:05 PM,Closed,Clear Channel - Transit Queue,Graffiti Public Property,South of Market,Open311
03/14/2016 07:46:42 AM,03/14/2016 09:37:17 AM,03/14/2016 09:37:17 AM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,South of Market,Voice In
03/14/2016 07:48:04 AM,03/14/2016 02:39:28 PM,03/14/2016 02:39:28 PM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,South of Market,Voice In
03/14/2016 12:26:10 AM,03/14/2016 06:36:30 PM,03/14/2016 06:36:30 PM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,Mission,Open311
06-01-2016 16:52,06-02-2016 12:00,06-02-2016 12:00,Closed,MUNI Work Queue,MUNI Feedback,Mission,Voice In
03/14/2016 12:49:37 AM,03/14/2016 12:05:58 PM,03/14/2016 12:05:58 PM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,Mission,Open311
02/29/2016 09:11:55 AM,03-01-2016 00:19,03-01-2016 00:19,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,Mission,Open311
06-01-2016 17:00,06-02-2016 00:36,06-02-2016 00:36,Closed,311 Supervisor Queue,Street and Sidewalk Cleaning,South of Market,Open311
06-01-2016 17:00,06-02-2016 18:12,06-02-2016 18:12,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,Chinatown,Open311
03/14/2016 07:56:47 AM,03/14/2016 10:49:19 AM,03/14/2016 10:49:19 AM,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,North Beach,Voice In
06-01-2016 17:01,06-02-2016 17:39,06-02-2016 17:39,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,Chinatown,Open311
08-01-2015 13:01,11-04-2015 09:52,11-04-2015 09:52,Closed,DPT Meter_Bike Queue,Damaged Property,Mission,Voice In
06-01-2016 17:02,06-02-2016 09:27,06-02-2016 09:27,Closed,DPW Ops Queue,Graffiti Public Property,Mission,Open311
03/14/2016 08:02:36 AM,03/14/2016 03:40:19 PM,03/14/2016 03:40:19 PM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,South of Market,Voice In
03/14/2016 08:07:59 AM,03/14/2016 03:42:25 PM,03/14/2016 03:42:25 PM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,Mission,Voice In
06-01-2016 17:08,06-02-2016 01:45,06-02-2016 01:45,Closed,DPW Ops Queue,Graffiti Public Property,Chinatown,Open311
03/14/2016 08:08:51 AM,,03/14/2016 12:00:00 PM,Open,DPW BSM Queue,Street Defects,South of Market,Open311
06-01-2016 17:13,06-02-2016 08:31,06-02-2016 08:31,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,Mission,Voice In
08-01-2015 13:20,08-05-2015 09:32,08-05-2015 09:32,Closed,DPW Ops Queue,Litter Receptacles,Russian Hill,Voice In
03/14/2016 08:11:24 AM,,03/14/2016 10:41:34 AM,Open,SFMTA - Temporary Sign Request Installation/Enforcement Queue,Temporary Sign Request,Russian Hill,Web Self Service
03/14/2016 08:12:25 AM,03/14/2016 09:44:31 AM,03/14/2016 09:44:31 AM,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,Mission,Voice In
06-01-2016 17:15,06-02-2016 11:53,06-02-2016 11:53,Closed,DPW Ops Queue,Graffiti Private Property,South of Market,Open311
03/14/2016 08:13:29 AM,03/14/2016 03:41:43 PM,03/14/2016 03:41:43 PM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,Mission,Voice In
03/14/2016 08:13:42 AM,03/17/2016 03:55:35 PM,03/17/2016 03:55:35 PM,Closed,MUNI Work Queue,MUNI Feedback,Civic Center,Voice In
03/14/2016 08:15:06 AM,,03/14/2016 08:45:52 AM,Open,DPW Ops Queue,Street and Sidewalk Cleaning,Civic Center,Web Self Service
03/14/2016 08:19:08 AM,03/14/2016 03:38:25 PM,03/14/2016 03:38:25 PM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,Chinatown,Open311
06-01-2016 17:19,06-02-2016 10:18,06-02-2016 10:18,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,Mission,Open311
07/17/2015 03:51:28 PM,07/18/2015 09:26:03 AM,07/18/2015 09:26:03 AM,Closed,DPW Ops Queue,Graffiti Private Property,North Beach,Voice In
03/14/2016 08:24:37 AM,03/14/2016 11:10:07 AM,03/14/2016 11:10:07 AM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,South of Market,Voice In
03/14/2016 08:27:42 AM,,03/14/2016 08:29:58 AM,Open,DPW Ops Queue,Street and Sidewalk Cleaning,South of Market,Voice In
03/14/2016 08:33:25 AM,03/14/2016 11:01:31 AM,03/14/2016 11:01:31 AM,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,Chinatown,Voice In
06-01-2016 17:33,06-02-2016 05:55,06-02-2016 05:55,Closed,Clear Channel - Transit Queue,Graffiti Public Property,South of Market,Open311
03/14/2016 08:41:41 AM,03/14/2016 01:00:42 PM,03/14/2016 01:00:42 PM,Closed,311 Supervisor Queue,Graffiti Public Property,South of Market,Open311
06-01-2016 17:36,06-02-2016 07:56,06-02-2016 07:56,Closed,DPW Ops Queue,Graffiti Public Property,South of Market,Open311
06-01-2016 17:36,06-02-2016 12:00,06-02-2016 12:00,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,South of Market,Open311
03/14/2016 08:44:33 AM,,03/14/2016 12:00:00 PM,Open,DPW BSM Queue,Street Defects,South of Market,Open311
03/14/2016 08:55:56 AM,03/14/2016 03:29:50 PM,03/14/2016 03:29:50 PM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,Mission,Open311
06-01-2016 17:48,06-02-2016 05:07,06-02-2016 05:07,Closed,Noise Report Queue,Noise Report,South of Market,Voice In
03/14/2016 09:06:36 AM,03/14/2016 09:33:58 AM,03/14/2016 09:33:58 AM,Closed,Recology_Overflowing,Street and Sidewalk Cleaning,Chinatown,Open311
03/14/2016 12:45:21 PM,03/14/2016 01:32:14 PM,03/14/2016 01:32:14 PM,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,Mission,Voice In
03/14/2016 09:12:04 AM,03/14/2016 10:50:58 AM,03/14/2016 10:50:58 AM,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,Chinatown,Open311
07/31/2015 11:37:52 AM,08-03-2015 07:27,08-03-2015 07:27,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,South of Market,Open311
03/14/2016 09:12:49 AM,03/14/2016 09:47:38 AM,03/14/2016 09:47:38 AM,Closed,RPD NSA Queue,Sign Repair,Chinatown,Open311
03/14/2016 09:14:27 AM,03/14/2016 03:29:24 PM,03/14/2016 03:29:24 PM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,Mission,Voice In
07/31/2015 11:39:15 AM,07/31/2015 01:02:10 PM,07/31/2015 01:02:10 PM,Closed,PUC - Water - G,Sewer Issues,Russian Hill,Voice In
03/14/2016 09:16:29 AM,03/14/2016 12:47:38 PM,03/14/2016 12:47:38 PM,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,Chinatown,Open311
07/31/2015 12:05:13 PM,07/31/2015 01:16:28 PM,07/31/2015 01:16:28 PM,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,Mission,Open311
03/14/2016 09:17:43 AM,03/14/2016 03:29:03 PM,03/14/2016 03:29:03 PM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,Mission,Voice In
07/31/2015 01:01:12 PM,07/31/2015 03:00:42 PM,07/31/2015 03:00:42 PM,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,South of Market,Web Self Service
03/14/2016 09:18:33 AM,03/14/2016 03:28:29 PM,03/14/2016 03:28:29 PM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,Mission,Open311
03/14/2016 09:20:18 AM,,03/14/2016 11:10:00 AM,Open,DPW Ops Queue,Litter Receptacles,Chinatown,Open311
03/14/2016 09:23:55 AM,03/14/2016 01:08:13 PM,03/14/2016 01:08:13 PM,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,Nob Hill,Open311
03/14/2016 09:25:12 AM,03/14/2016 12:58:29 PM,03/14/2016 12:58:29 PM,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,Nob Hill,Open311
03/14/2016 09:25:25 AM,03/14/2016 03:35:32 PM,03/14/2016 03:35:32 PM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,Mission,Open311
06-01-2016 18:06,06-02-2016 00:52,06-02-2016 00:52,Closed,RPD NSA Queue,Rec and Park Requests,South of Market,Voice In
03/14/2016 09:34:38 AM,03/14/2016 11:04:42 AM,03/14/2016 11:04:42 AM,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,Chinatown,Open311
03/14/2016 09:35:44 AM,03/14/2016 09:37:10 AM,03/14/2016 09:37:10 AM,Closed,PUC - Water - G,Graffiti Public Property,Nob Hill,Open311
07/17/2015 10:38:03 AM,07/31/2015 08:13:48 AM,07/31/2015 08:13:48 AM,Closed,DPW Ops Queue,Graffiti Private Property,Mission,Web Self Service
03/14/2016 09:37:15 AM,,03/14/2016 09:37:15 AM,Open,DPW Ops Queue,Street and Sidewalk Cleaning,Chinatown,Open311
06-01-2016 18:10,06-02-2016 10:24,06-02-2016 10:24,Closed,DPW Ops Queue,Graffiti Public Property,Mission,Open311
07/31/2015 02:28:30 PM,07/31/2015 03:23:29 PM,07/31/2015 03:23:29 PM,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,Mission,Voice In
07/31/2015 02:29:06 PM,07/31/2015 03:47:24 PM,07/31/2015 03:47:24 PM,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,Nob Hill,Open311
07/31/2015 03:05:50 PM,07/31/2015 05:10:53 PM,07/31/2015 05:10:53 PM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,Civic Center,Voice In
03/14/2016 09:39:31 AM,03/14/2016 01:49:31 PM,03/14/2016 01:49:31 PM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,South of Market,Open311
03/14/2016 09:41:56 AM,,03/14/2016 12:00:00 PM,Open,DPW Ops Queue,Graffiti Public Property,Chinatown,Open311
03/14/2016 09:44:50 AM,,03/14/2016 12:00:00 PM,Open,DPW Ops Queue,Street and Sidewalk Cleaning,Chinatown,Open311
03/14/2016 09:46:10 AM,03/15/2016 02:28:45 AM,03/15/2016 02:28:45 AM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,South of Market,Open311
03/14/2016 09:46:29 AM,03/14/2016 12:27:02 PM,03/14/2016 12:27:02 PM,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,Nob Hill,Open311
03/14/2016 09:47:14 AM,03/14/2016 01:59:40 PM,03/14/2016 01:59:40 PM,Closed,RPD Park Service Area 1 Queue,Rec and Park Requests,Chinatown,Open311
03/14/2016 09:47:56 AM,03/14/2016 12:05:58 PM,03/14/2016 12:05:58 PM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,Mission,Voice In
07/17/2015 10:56:34 AM,11-04-2015 07:57,11-04-2015 07:57,Closed,DPT Meter_Bike Queue,Damaged Property,Financial District,Voice In
03/14/2016 09:50:12 AM,03/14/2016 01:48:10 PM,03/14/2016 01:48:10 PM,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,Chinatown,Open311
03/14/2016 09:52:16 AM,,03/14/2016 12:00:00 PM,Open,DPW Ops Queue,Street and Sidewalk Cleaning,Russian Hill,Open311
03/14/2016 09:52:29 AM,03/14/2016 01:48:13 PM,03/14/2016 01:48:13 PM,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,Russian Hill,Voice In
03/14/2016 09:53:16 AM,03/14/2016 11:45:17 AM,03/14/2016 11:45:17 AM,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,South of Market,Integrated Agency
03/14/2016 09:54:06 AM,03/14/2016 02:00:29 PM,03/14/2016 02:00:29 PM,Closed,RPD Park Service Area 1 Queue,Rec and Park Requests,Chinatown,Open311
03/14/2016 09:54:11 AM,,03/14/2016 12:00:00 PM,Open,DPW Ops Queue,Street and Sidewalk Cleaning,Chinatown,Open311
03/14/2016 09:55:26 AM,03/14/2016 12:11:37 PM,03/14/2016 12:11:37 PM,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,South of Market,Open311
07/14/2015 05:24:29 PM,07/14/2015 06:09:43 PM,07/14/2015 06:09:43 PM,Closed,Recology_Overflowing,Street and Sidewalk Cleaning,Mission,Open311
03/14/2016 09:56:45 AM,03/14/2016 10:45:37 AM,03/14/2016 10:45:37 AM,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,South of Market,Open311
07/14/2015 05:27:31 PM,07/16/2015 09:54:35 AM,07/16/2015 09:54:35 AM,Closed,DPT - Other - G,General Requests,South of Market,Voice In
03/14/2016 09:58:38 AM,03/14/2016 03:31:47 PM,03/14/2016 03:31:47 PM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,Mission,Voice In
03/14/2016 10:01:08 AM,03/14/2016 06:01:13 PM,03/14/2016 06:01:13 PM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,Mission,Open311
07/31/2015 07:23:36 PM,08-01-2015 10:06,08-01-2015 10:06,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,Mission,Integrated Agency
06-01-2016 18:30,06-02-2016 09:51,06-02-2016 09:51,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,Mission,Open311
03/14/2016 10:03:13 AM,,03/14/2016 12:00:00 PM,Open,DPW Ops Queue,Street and Sidewalk Cleaning,Chinatown,Open311
03/14/2016 10:04:25 AM,03/14/2016 01:48:04 PM,03/14/2016 01:48:04 PM,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,Chinatown,Open311
06-01-2016 18:35,06-02-2016 11:51,06-02-2016 11:51,Closed,MUNI Work Queue,MUNI Feedback,South of Market,Voice In
06-01-2016 18:38,06-02-2016 10:16,06-02-2016 10:16,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,Mission,Open311
02/29/2016 03:15:22 PM,,03-05-2016 09:59,Open,DPW Ops Queue,Graffiti Private Property,South of Market,Open311
06-01-2016 18:46,06-02-2016 12:30,06-02-2016 12:30,Closed,DPT Meter_Bike Queue,Damaged Property,Mission,Open311
03/14/2016 10:16:42 AM,03/14/2016 10:22:14 AM,03/14/2016 10:22:14 AM,Closed,311 Service Request Queue,Damaged Property,Mission,Voice In
06-01-2016 18:53,06-02-2016 08:14,06-02-2016 08:14,Closed,DPW Ops Queue,Graffiti Public Property,Mission,Open311
03/14/2016 10:20:06 AM,03/14/2016 03:29:53 PM,03/14/2016 03:29:53 PM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,Mission,Web Self Service
06-01-2016 18:57,06-02-2016 08:14,06-02-2016 08:14,Closed,DPW Ops Queue,Graffiti Public Property,Mission,Open311
07/14/2015 06:41:53 PM,09/14/2015 08:04:20 PM,09/14/2015 08:04:20 PM,Closed,DPT Color Curb Queue,Color Curb,Mission,Web Self Service
03/14/2016 10:22:17 AM,,03/14/2016 12:00:00 PM,Open,DPW Ops Queue,Street and Sidewalk Cleaning,North Beach,Open311
07/14/2015 06:44:56 PM,07/16/2015 11:05:02 AM,07/16/2015 11:05:02 AM,Closed,MUNI Work Queue,MUNI Feedback,Financial District,Voice In
06-01-2016 18:59,06-02-2016 01:06,06-02-2016 01:06,Closed,DPW Ops Queue,Graffiti Private Property,Mission,Open311
06-01-2016 19:03,06-02-2016 08:26,06-02-2016 08:26,Closed,DPW Ops Queue,Graffiti Public Property,Mission,Open311
06-01-2016 19:04,06-02-2016 10:16,06-02-2016 10:16,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,Mission,Voice In
06-01-2016 19:04,06-02-2016 08:26,06-02-2016 08:26,Closed,DPW Ops Queue,Graffiti Private Property,Mission,Open311
06-01-2016 19:06,06-02-2016 08:26,06-02-2016 08:26,Closed,DPW Ops Queue,Graffiti Private Property,Mission,Open311
06-01-2016 19:08,06-02-2016 12:00,06-02-2016 12:00,Closed,DPW Ops Queue,Blocked Street or SideWalk,South of Market,Open311
07/14/2015 07:08:04 PM,07/15/2015 02:42:36 AM,07/15/2015 02:42:36 AM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,Mission,Open311
06-01-2016 19:10,06-02-2016 08:26,06-02-2016 08:26,Closed,DPW Ops Queue,Graffiti Public Property,Mission,Open311
06-01-2016 19:14,06-02-2016 12:00,06-02-2016 12:00,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,Mission,Open311
03/14/2016 10:36:34 AM,03/14/2016 01:34:16 PM,03/14/2016 01:34:16 PM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,South of Market,Open311
03/14/2016 10:37:44 AM,,03/14/2016 12:00:00 PM,Open,DPW Ops Queue,Street and Sidewalk Cleaning,North Beach,Open311
06-01-2016 19:26,06-02-2016 09:15,06-02-2016 09:15,Closed,DPW Ops Queue,Graffiti Public Property,Mission,Open311
03/14/2016 10:39:16 AM,,03/14/2016 12:00:00 PM,Open,DPW Ops Queue,Street and Sidewalk Cleaning,North Beach,Open311
03/14/2016 10:43:04 AM,,03/14/2016 10:43:05 AM,Open,DPW BSM Queue,Damaged Property,South of Market,Web Self Service
02/29/2016 04:23:48 PM,03-01-2016 03:42,03-01-2016 03:42,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,South of Market,Voice In
06-01-2016 19:28,06-02-2016 01:02,06-02-2016 01:02,Closed,PUC - Water - G,Sewer Issues,South of Market,Web Self Service
06-01-2016 19:31,06-02-2016 08:26,06-02-2016 08:26,Closed,DPW Ops Queue,Graffiti Private Property,Mission,Open311
07/14/2015 07:17:19 PM,07/15/2015 01:10:00 AM,07/15/2015 01:10:00 AM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,South of Market,Open311
03/14/2016 10:56:32 AM,03/14/2016 01:18:13 PM,03/14/2016 01:18:13 PM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,South of Market,Open311
03/14/2016 11:03:02 AM,03/14/2016 11:51:21 AM,03/14/2016 11:51:21 AM,Closed,311 Service Request Queue,311 External Request,Russian Hill,Voice In
07/14/2015 07:30:56 PM,07/15/2015 02:45:00 AM,07/15/2015 02:45:00 AM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,South of Market,Voice In
03/14/2016 11:05:31 AM,,03/14/2016 01:54:28 PM,Open,SFMTA - Temporary Sign Request Installation/Enforcement Queue,Temporary Sign Request,Nob Hill,Web Self Service
08-01-2015 06:47,08-01-2015 09:35,08-01-2015 09:35,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,Mission,Open311
07/17/2015 11:37:55 AM,,07/17/2015 11:37:55 AM,Open,DPW Ops Queue,Graffiti Private Property,South of Market,Web Self Service
03/14/2016 11:09:42 AM,03/14/2016 12:47:50 PM,03/14/2016 12:47:50 PM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,Mission,Voice In
07/17/2015 12:24:45 PM,08/18/2015 09:44:33 AM,08/18/2015 09:44:33 AM,Closed,DPW Ops Queue,Graffiti Private Property,South of Market,Integrated Agency
03/14/2016 11:10:23 AM,03/14/2016 02:29:42 PM,03/14/2016 02:29:42 PM,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,North Beach,Integrated Agency
07/14/2015 05:59:02 PM,07/15/2015 12:14:08 PM,07/15/2015 12:14:08 PM,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,Mission,Open311
06-01-2016 20:43,06-02-2016 00:37,06-02-2016 00:37,Closed,311 Supervisor Queue,Street and Sidewalk Cleaning,South of Market,Open311
03/14/2016 11:21:15 AM,03/14/2016 12:05:08 PM,03/14/2016 12:05:08 PM,Closed,PUC - Water - G,Graffiti Public Property,Civic Center,Open311
03/14/2016 11:22:04 AM,,03/14/2016 01:52:27 PM,Open,SFMTA - Temporary Sign Request Installation/Enforcement Queue,Temporary Sign Request,Nob Hill,Web Self Service
08-01-2015 07:18,08-01-2015 16:12,08-01-2015 16:12,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,Mission,Web Self Service
03/14/2016 12:48:57 PM,,03/14/2016 12:53:54 PM,Open,DPW BSSR Queue,Street Defects,South of Market,Voice In
03/14/2016 11:22:16 AM,03/14/2016 03:29:30 PM,03/14/2016 03:29:30 PM,Closed,DPW - Bureau of Street Environmental Services - G,General Requests,Mission,Voice In
02/29/2016 05:27:27 PM,,03-01-2016 07:01,Open,DPW Ops Queue,Street and Sidewalk Cleaning,North Beach,Open311
03/14/2016 11:24:42 AM,03/14/2016 02:29:44 PM,03/14/2016 02:29:44 PM,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,North Beach,Voice In
03/14/2016 11:26:14 AM,03/14/2016 03:04:32 PM,03/14/2016 03:04:32 PM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,South of Market,Web Self Service
03/14/2016 12:51:30 PM,03/14/2016 02:28:02 PM,03/14/2016 02:28:02 PM,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,Mission,Voice In
03/14/2016 11:34:23 AM,03/14/2016 01:55:36 PM,03/14/2016 01:55:36 PM,Closed,Clear Channel - Transit Queue,Graffiti Public Property,Mission,Open311
03/14/2016 11:39:25 AM,03/14/2016 12:24:26 PM,03/14/2016 12:24:26 PM,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,Nob Hill,Voice In
02/29/2016 05:51:14 PM,03-01-2016 15:40,03-01-2016 15:40,Closed,DPH - Environmental Health - G,Residential Building Request,Mission,Voice In
03/14/2016 11:42:58 AM,,03/14/2016 12:00:00 PM,Open,DPW Ops Queue,Street and Sidewalk Cleaning,Nob Hill,Voice In
03/14/2016 11:46:59 AM,,03/14/2016 01:53:33 PM,Open,SFMTA - Temporary Sign Request Installation/Enforcement Queue,Temporary Sign Request,Nob Hill,Web Self Service
08-01-2015 09:21,08/22/2015 09:38:09 AM,08/22/2015 09:38:09 AM,Closed,DPW Ops Queue,Graffiti Private Property,Civic Center,Integrated Agency
08-01-2015 09:42,08-01-2015 15:32,08-01-2015 15:32,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,Financial District,Voice In
06-01-2016 20:05,06-02-2016 03:05,06-02-2016 03:05,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,South of Market,Voice In
07/14/2015 05:03:18 PM,,07/14/2015 05:04:44 PM,Open,Housing Authority SR Queue,SFHA Requests,South of Market,Voice In
06-01-2016 20:15,06-02-2016 05:07,06-02-2016 05:07,Closed,Noise Report Queue,Noise Report,South of Market,Web Self Service
08-01-2015 10:08,08/14/2015 10:20:39 AM,08/14/2015 10:20:39 AM,Closed,MUNI Work Queue,MUNI Feedback,Mission,Voice In
06-01-2016 20:15,06-02-2016 12:00,06-02-2016 12:00,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,South of Market,Open311
08-01-2015 10:08,08-01-2015 16:12,08-01-2015 16:12,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,Mission,Open311
08-01-2015 10:42,08-05-2015 07:45,08-05-2015 07:45,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,South of Market,Voice In
07/17/2015 02:03:17 PM,07/30/2015 09:24:22 AM,07/30/2015 09:24:22 AM,Closed,SFMTA - Temporary Sign Request Queue,Temporary Sign Request,Nob Hill,Voice In
03/14/2016 12:20:17 PM,03/14/2016 01:17:47 PM,03/14/2016 01:17:47 PM,Closed,Recology_Overflowing,Street and Sidewalk Cleaning,Mission,Open311
02/29/2016 10:11:44 PM,,03-01-2016 07:41,Open,DPW Ops Queue,Street and Sidewalk Cleaning,South of Market,Voice In
03/14/2016 05:13:58 PM,,03/14/2016 05:15:23 PM,Open,DPW BSSR Queue,Street Defects,South of Market,Voice In
06-01-2016 20:53,06-02-2016 10:19,06-02-2016 10:19,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,Mission,Integrated Agency
08-01-2015 13:23,08-01-2015 17:24,08-01-2015 17:24,Closed,311 Supervisor Queue,Litter Receptacles,Russian Hill,Voice In
06-01-2016 21:13,06-02-2016 08:55,06-02-2016 08:55,Closed,Police - Homeless Concerns Queue,General Requests,South of Market,Open311
